title_norm,tmdb_id,genres,director,top_cast,overview,match_score,enriched_text
Joy (2015),274479.0,"['Drama', 'Comedy']",David O. Russell,"['Jennifer Lawrence', 'Robert De Niro', 'Bradley Cooper']",A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.,1.0,"Joy (2015) | Genres: Drama, Comedy | Director: David O. Russell | Cast: Jennifer Lawrence, Robert De Niro, Bradley Cooper"
The Breed (2006),10063.0,"['Thriller', 'Horror']",Nicholas Mastandrea,"['Michelle Rodriguez', 'Taryn Manning', 'Eric Lively']","Brothers John and Matt have inherited an island cabin from their recently deceased uncle. Along with Matt's girlfriend, Nicki, and other mutual friends, the siblings travel to the cabin for a relaxing weekend getaway. But, not long after arriving, the group is besieged by ravenous dogs. They watch in horror as another vacationer, Luke, is eaten alive. Soon, they discover a training facility where the dogs have been bred to kill.",1.0,"The Breed (2006) | Genres: Thriller, Horror | Director: Nicholas Mastandrea | Cast: Michelle Rodriguez, Taryn Manning, Eric Lively"
Holiday Affair (1949),24863.0,"['Comedy', 'Romance', 'Drama']",Don Hartman,"['Robert Mitchum', 'Janet Leigh', 'Wendell Corey']","Just before Christmas, department store clerk Steve Mason meets big spending customer Connie Ennis, who's actually a comparison shopper sent by another store. Steve lets her go, which gets him fired. They spend the afternoon together, which doesn't sit well with Connie's steady suitor, Carl, when he finds out, but delights her young son Timmy, who quickly takes to Steve.",1.0,"Holiday Affair (1949) | Genres: Comedy, Romance, Drama | Director: Don Hartman | Cast: Robert Mitchum, Janet Leigh, Wendell Corey"
Shin Godzilla (2016),315011.0,"['Action', 'Science Fiction', 'Horror']",Shinji Higuchi,"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara']","When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.",1.0,"Shin Godzilla (2016) | Genres: Action, Science Fiction, Horror | Director: Shinji Higuchi | Cast: Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara"
Turner & Hooch (1989),6951.0,"['Action', 'Comedy', 'Thriller', 'Crime', 'Family']",Roger Spottiswoode,"['Tom Hanks', 'Mare Winningham', 'Craig T. Nelson']","Detective Scott Turner has three days left in the local police department before he moves to a bigger city to get some 'real' cases—not just misdemeanors. When Amos Reed is murdered, Scott sets himself on the case, but the closest thing to a witness to the murder is Reed's dog, Hooch, which Scott has to take care of—to avoid Hooch being 'put to sleep'.",1.0,"Turner & Hooch (1989) | Genres: Action, Comedy, Thriller, Crime, Family | Director: Roger Spottiswoode | Cast: Tom Hanks, Mare Winningham, Craig T. Nelson"
An American Werewolf in London (1981),814.0,"['Comedy', 'Horror']",John Landis,"['David Naughton', 'Jenny Agutter', 'Griffin Dunne']","American tourists David and Jack are savagely attacked by an unidentified animal while hiking on the Yorkshire Moors. After retiring to the home of a beautiful nurse to recuperate, David soon begins experiencing disturbing changes to his body and mind.",1.0,"An American Werewolf in London (1981) | Genres: Comedy, Horror | Director: John Landis | Cast: David Naughton, Jenny Agutter, Griffin Dunne"
The Enemy (1979),,,,,,,The Enemy (1979)
Machete (2010),23631.0,"['Action', 'Comedy', 'Thriller']",Robert Rodriguez,"['Danny Trejo', 'Michelle Rodriguez', 'Jessica Alba']","After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",1.0,"Machete (2010) | Genres: Action, Comedy, Thriller | Director: Robert Rodriguez | Cast: Danny Trejo, Michelle Rodriguez, Jessica Alba"
Godzilla Against Mechagodzilla (2002),12636.0,"['Action', 'Science Fiction', 'Thriller']",Masaaki Tezuka,"['Yumiko Shaku', 'Shin Takuma', 'Kana Onodera']","JSDF pilot Akane has a fateful encounter when a new Godzilla emerges in Tateyama. As a countermeasure, a cyborg named Kiryu is constructed from the remains of the original. The machine is discovered to harbor the restless soul of the original monster as Akane must learn to find value in her own life as well.",1.0,"Godzilla Against Mechagodzilla (2002) | Genres: Action, Science Fiction, Thriller | Director: Masaaki Tezuka | Cast: Yumiko Shaku, Shin Takuma, Kana Onodera"
The Running Man (1987),865.0,"['Action', 'Thriller', 'Science Fiction']",Paul Michael Glaser,"['Arnold Schwarzenegger', 'Richard Dawson', 'María Conchita Alonso']","By 2017, the global economy has collapsed and U.S. society has become a totalitarian police state, censoring all cultural activity. The government pacifies the populace by broadcasting a number of game shows in which convicted criminals fight for their lives, including the gladiator-style The Running Man, hosted by the ruthless Damon Killian, where “runners” attempt to evade “stalkers” and certain death for a chance to be pardoned and set free.",1.0,"The Running Man (1987) | Genres: Action, Thriller, Science Fiction | Director: Paul Michael Glaser | Cast: Arnold Schwarzenegger, Richard Dawson, María Conchita Alonso"
S3 (2016),,,,,,,S3 (2016)
2001: A Space Travesty (2000),7290.0,"['Comedy', 'Science Fiction', 'Action']",Allan A. Goldstein,"['Leslie Nielsen', 'Alexandra Kamp', 'Verona Pooth']","When odd reports are received through official channels stating that the President of the United States is being held captive on a secret international moon base called Vegan and that he has been replaced on Earth by a clone, the US Marshall Service immediately sends their 'best' man, Dix, on the mission.",1.0,"2001: A Space Travesty (2000) | Genres: Comedy, Science Fiction, Action | Director: Allan A. Goldstein | Cast: Leslie Nielsen, Alexandra Kamp, Verona Pooth"
Route 666 (2001),55547.0,"['Horror', 'Action', 'Thriller']",William Wesley,"['Lou Diamond Phillips', 'Lori Petty', 'Steven Williams']","Smith, a mob informer hiding out with the Witness Protection Program, decides to make a break for it and hide out in the Arizona desert. The Feds catch up with him and rescue him just before a group of hitmen can manage to silence him for good. In the course of getting Smith away from the mafia thugs, the pair of agents assigned to protect him turn onto an abandoned stretch of highway nicknamed 'Route 666' after the mysterious death of a prison chain gang. As the three continue on their way, they soon discover just what happened to the chain gang, and how the highway earned its name.",1.0,"Route 666 (2001) | Genres: Horror, Action, Thriller | Director: William Wesley | Cast: Lou Diamond Phillips, Lori Petty, Steven Williams"
Niagara (1953),19997.0,"['Thriller', 'Crime']",Henry Hathaway,"['Marilyn Monroe', 'Joseph Cotten', 'Jean Peters']","Rose Loomis and her older, gloomier husband, George, are vacationing at a cabin in Niagara Falls, N.Y. The couple befriend Polly and Ray Cutler, who are honeymooning in the area. Polly begins to suspect that something is amiss between Rose and George, and her suspicions grow when she sees Rose in the arms of another man. While Ray initially thinks Polly is overreacting, things between George and Rose soon take a shockingly dark turn.",1.0,"Niagara (1953) | Genres: Thriller, Crime | Director: Henry Hathaway | Cast: Marilyn Monroe, Joseph Cotten, Jean Peters"
Lego Indiana Jones and the Raiders of the Lost Brick,139282.0,"['Adventure', 'Comedy', 'Animation', 'Action', 'Family', 'Science Fiction', 'War']",Peder Pedersen,,Four shorts based on all four Indiana Jones movies with a little Lego twist and inside jokes.,1.0,"Lego Indiana Jones and the Raiders of the Lost Brick | Genres: Adventure, Comedy, Animation, Action, Family, Science Fiction, War | Director: Peder Pedersen"
Ali (2001),8489.0,['Drama'],Michael Mann,"['Will Smith', 'Jamie Foxx', 'Jon Voight']","In 1964, a brash, new pro boxer, fresh from his Olympic gold medal victory, explodes onto the scene: Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self-confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",1.0,"Ali (2001) | Genres: Drama | Director: Michael Mann | Cast: Will Smith, Jamie Foxx, Jon Voight"
Daddy Day Care (2003),10708.0,"['Comedy', 'Family']",Steve Carr,"['Eddie Murphy', 'Jeff Garlin', 'Steve Zahn']","Two men get laid off and have to become stay-at-home dads when they can't find jobs, which inspires them to open their own day-care center.",1.0,"Daddy Day Care (2003) | Genres: Comedy, Family | Director: Steve Carr | Cast: Eddie Murphy, Jeff Garlin, Steve Zahn"
The Lovers (2017),426253.0,"['Comedy', 'Drama', 'Romance']",Azazel Jacobs,"['Debra Winger', 'Tracy Letts', 'Aidan Gillen']",The separation of a long married couple goes awry when they fall for each other again.,1.0,"The Lovers (2017) | Genres: Comedy, Drama, Romance | Director: Azazel Jacobs | Cast: Debra Winger, Tracy Letts, Aidan Gillen"
The Gumball Rally (1976),25305.0,['Comedy'],Charles Bail,"['Michael Sarrazin', 'Norman Burton', 'Gary Busey']","A group of people from different backgrounds have one thing in common: when they hear the world ""gumball"" whispered by one of the others, they know that it's time for the Gumball Rally: a no-holds barred, secret, winner-take-all rally across the USA.",1.0,"The Gumball Rally (1976) | Genres: Comedy | Director: Charles Bail | Cast: Michael Sarrazin, Norman Burton, Gary Busey"
9 (2013),12244.0,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Thriller']",Shane Acker,"['Elijah Wood', 'Christopher Plummer', 'Martin Landau']","When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good.",0.6,"9 (2013) | Genres: Action, Adventure, Animation, Science Fiction, Thriller | Director: Shane Acker | Cast: Elijah Wood, Christopher Plummer, Martin Landau"
13 Ghosts (1960),29756.0,['Horror'],William Castle,"['Charles Herbert', 'Jo Morrow', 'Martin Milner']","The reclusive Dr. Zorba has died and left his sprawling mansion to his nephew Cyrus and his family. They will need to search the house to find the doctor's fortune, but along with the property itself, they have also inherited the occultist's collection of thirteen ghosts.",1.0,"13 Ghosts (1960) | Genres: Horror | Director: William Castle | Cast: Charles Herbert, Jo Morrow, Martin Milner"
Cabaret (1972),10784.0,"['Music', 'Drama', 'Romance']",Bob Fosse,"['Liza Minnelli', 'Michael York', 'Helmut Griem']","Inside the Kit Kat Club of 1931 Berlin, starry-eyed singer Sally Bowles and an impish emcee sound the clarion call to decadent fun, while outside a certain political party grows into a brutal force.",1.0,"Cabaret (1972) | Genres: Music, Drama, Romance | Director: Bob Fosse | Cast: Liza Minnelli, Michael York, Helmut Griem"
Missing in Action (1984),15379.0,"['Action', 'Adventure', 'Thriller', 'War', 'Drama']",Joseph Zito,"['Chuck Norris', 'M. Emmet Walsh', 'David Tress']","American servicemen are still being held captive in Vietnam and it's up to one man to bring them home in this blistering, fast-paced action/adventure starring martial arts superstar Chuck Norris. Following a daring escape from a Vietnamese POW camp, Special Forces Colonel James Braddock (Norris) is on a mission to locate and save remaining MIAs.",1.0,"Missing in Action (1984) | Genres: Action, Adventure, Thriller, War, Drama | Director: Joseph Zito | Cast: Chuck Norris, M. Emmet Walsh, David Tress"
The Imposter (2012),84287.0,"['Documentary', 'Mystery', 'Crime']",Bart Layton,"['Frédéric Bourdin', ""Adam O'Brian"", 'Anna Ruben']","In 1994 a 13-year-old boy disappeared without a trace from his home in San Antonio, Texas. Three-and-a-half years later he is found alive thousands of miles away in a village in southern Spain with a horrifying story of kidnap and torture. His family is overjoyed to bring him home. But all is not quite as it seems.",1.0,"The Imposter (2012) | Genres: Documentary, Mystery, Crime | Director: Bart Layton | Cast: Frédéric Bourdin, Adam O'Brian, Anna Ruben"
Slutty Summer (2004),17024.0,"['Comedy', 'Romance']",Casper Andreas,"['Casper Andreas', 'Christos Klapsis', 'Jeffrey Christopher Todd']","Hunky writer Markus returns home to find his boyfriend of four years naked with another man. Newly single, he begins waiting tables at a swinging Chelsea hotspot where the indelible supporting cast of co-workers offers conflicting directions on the off-road map to love and lust in New York City. Peter insists on holding out for ""the one"", and Marilyn vows by her ""dating commandments."" Meanwhile, lascivious Luke promises the film its title by delivering firecracker quips on the joys of his sexcapades. He believes that sleeping around is the best medicine for a broken heart. Despite disillusion, Markus falls for gorgeous model Tyler who doesn't ""do relationships"" because how can you promise to love somebody forever? Surprising twists, and unlikely advice await, but by the end of one unforgettable SLUTTY SUMMER, happily ever after may just be the answer. Written",1.0,"Slutty Summer (2004) | Genres: Comedy, Romance | Director: Casper Andreas | Cast: Casper Andreas, Christos Klapsis, Jeffrey Christopher Todd"
Oliver! (1968),17917.0,"['Drama', 'Family']",Carol Reed,"['Ron Moody', 'Shani Wallis', 'Oliver Reed']","Musical adaptation of Charles Dickens' Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin.",1.0,"Oliver! (1968) | Genres: Drama, Family | Director: Carol Reed | Cast: Ron Moody, Shani Wallis, Oliver Reed"
The Notebook (2013),199615.0,"['Drama', 'War']",János Szász,"['András Gyémánt', 'László Gyémánt', 'Piroska Molnár']","In a village on the Hungarian border, two young brothers grow up during war time with their cruel grandmother and must learn every trick of evil to survive in the absurd world of adults.",1.0,"The Notebook (2013) | Genres: Drama, War | Director: János Szász | Cast: András Gyémánt, László Gyémánt, Piroska Molnár"
Sixty Million Dollar Man (1995),52324.0,"['Comedy', 'Fantasy', 'Science Fiction']",Raymond Yip Wai-Man,"['Stephen Chow', 'Gigi Leung Wing-Kei', 'Richard Ng Man-Tat']","A rich playboy gets blown up by a gangster when he flirts with the gangster's wife. Through a series of circumstances, his professor makes him a synthetic body that allows him to change into anything he wants.",1.0,"Sixty Million Dollar Man (1995) | Genres: Comedy, Fantasy, Science Fiction | Director: Raymond Yip Wai-Man | Cast: Stephen Chow, Gigi Leung Wing-Kei, Richard Ng Man-Tat"
Superman: Doomsday,13640.0,"['Action', 'Animation', 'Science Fiction']",Lauren Montgomery,"['Adam Baldwin', 'Anne Heche', 'James Marsters']","When LexCorp accidentally unleashes a murderous creature, Superman meets his greatest challenge as a champion. Based on the ""The Death of Superman"" storyline that appeared in DC Comics' publications in the 1990s.",1.0,"Superman: Doomsday | Genres: Action, Animation, Science Fiction | Director: Lauren Montgomery | Cast: Adam Baldwin, Anne Heche, James Marsters"
Dr. Seuss' How the Grinch Stole Christmas (2000),,,,,,,Dr. Seuss' How the Grinch Stole Christmas (2000)
Pippi Longstocking (1997),12630.0,"['Adventure', 'Animation', 'Comedy', 'Family']",Clive A. Smith,"['Elin Larsson', 'Börje Ahlstedt', 'Max Wallér-Zandén']","Pippi Longstocking is an extraordinary little girl who lives alone in her house, while her father sails the seven seas. Pippi's irrepressibly fun nature makes her easy to befriend, as neighbors Tommy and Annika find, but can also earn ire, especially from social worker Mrs. Prysselius.",1.0,"Pippi Longstocking (1997) | Genres: Adventure, Animation, Comedy, Family | Director: Clive A. Smith | Cast: Elin Larsson, Börje Ahlstedt, Max Wallér-Zandén"
Into the Woods (2014),224141.0,"['Fantasy', 'Comedy']",Rob Marshall,"['Anna Kendrick', 'Meryl Streep', 'Lilla Crawford']","In a woods filled with magic and fairy tale characters, a baker and his wife set out to end the curse put on them by their neighbor, a spiteful witch.",1.0,"Into the Woods (2014) | Genres: Fantasy, Comedy | Director: Rob Marshall | Cast: Anna Kendrick, Meryl Streep, Lilla Crawford"
The Girl Next Door (2007),15356.0,"['Thriller', 'Crime', 'Drama', 'Horror']",Gregory Wilson,"['Blythe Auffarth', 'Daniel Manche', 'Michael Zegen']","In a quiet suburban town in the summer of 1958, two recently orphaned sisters are placed in the care of their mentally unstable Aunt Ruth. But Ruth's depraved sense of discipline will soon lead to unspeakable acts of abuse and torture that involve her young sons, the neighborhood children, and one 12-year-old boy whose life will be changed forever.",1.0,"The Girl Next Door (2007) | Genres: Thriller, Crime, Drama, Horror | Director: Gregory Wilson | Cast: Blythe Auffarth, Daniel Manche, Michael Zegen"
The Secret Life of Pets (2016),328111.0,"['Family', 'Comedy', 'Adventure', 'Animation']",Chris Renaud,"['Louis C.K.', 'Eric Stonestreet', 'Kevin Hart']","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",1.0,"The Secret Life of Pets (2016) | Genres: Family, Comedy, Adventure, Animation | Director: Chris Renaud | Cast: Louis C.K., Eric Stonestreet, Kevin Hart"
Pokémon: The Movie 2000 (1999),12599.0,"['Adventure', 'Fantasy', 'Animation', 'Science Fiction', 'Family']",Kunihiko Yuyama,"['Rica Matsumoto', 'Ikue Otani', 'Mayumi Izuka']","When Lawrence III's scheme to capture the Legendary Pokémon Lugia upsets the balance of nature, it is up to Ash Ketchum and his friends to save the world.",0.9777777777777777,"Pokémon: The Movie 2000 (1999) | Genres: Adventure, Fantasy, Animation, Science Fiction, Family | Director: Kunihiko Yuyama | Cast: Rica Matsumoto, Ikue Otani, Mayumi Izuka"
Silence (2016),68730.0,"['Drama', 'History']",Martin Scorsese,"['Andrew Garfield', 'Adam Driver', 'Liam Neeson']","In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",1.0,"Silence (2016) | Genres: Drama, History | Director: Martin Scorsese | Cast: Andrew Garfield, Adam Driver, Liam Neeson"
Argo (2004),92069.0,"['Action', 'Comedy']",Attila Árpa,"['Lajos Kovács', 'József Kiss', 'Lukács Bicskey']","The crew of Tibi Balogh sets out on a journey across Hungary to get the ancient Gold Owl statue, as well as the Milk Man. The treasure is worth millions, who gets there first?",1.0,"Argo (2004) | Genres: Action, Comedy | Director: Attila Árpa | Cast: Lajos Kovács, József Kiss, Lukács Bicskey"
Attack of the 50 Foot Woman (1958),18724.0,"['Science Fiction', 'Drama', 'Horror']",Nathan Juran,"['Allison Hayes', 'William Hudson', 'Yvette Vickers']","When an abused wife grows to giant size because of an alien encounter and an aborted murder attempt, she goes after her cheating husband with revenge on her mind.",1.0,"Attack of the 50 Foot Woman (1958) | Genres: Science Fiction, Drama, Horror | Director: Nathan Juran | Cast: Allison Hayes, William Hudson, Yvette Vickers"
Exit Wounds (2001),10877.0,"['Action', 'Crime', 'Thriller']",Andrzej Bartkowiak,"['Steven Seagal', 'DMX', 'Isaiah Washington']","Maverick cop Orin Boyd always brings down the domestic terrorists he tracks, but he ruffles feathers with his unorthodox techniques -- and soon finds himself reassigned to the toughest district in Detroit. When he discovers a group of detectives secretly operating a drug ring, Boyd joins forces with an unlikely ally -- gangster Latrell Walker -- to bring down the rotten cops.",1.0,"Exit Wounds (2001) | Genres: Action, Crime, Thriller | Director: Andrzej Bartkowiak | Cast: Steven Seagal, DMX, Isaiah Washington"
The Science of Sleep (2006),300.0,"['Comedy', 'Drama', 'Fantasy']",Michel Gondry,"['Gael García Bernal', 'Charlotte Gainsbourg', 'Miou-Miou']",A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.,1.0,"The Science of Sleep (2006) | Genres: Comedy, Drama, Fantasy | Director: Michel Gondry | Cast: Gael García Bernal, Charlotte Gainsbourg, Miou-Miou"
Dave (1993),11566.0,['Comedy'],Ivan Reitman,"['Kevin Kline', 'Sigourney Weaver', 'Frank Langella']",A sweet-natured Temp Agency operator and amateur Presidential look-alike is recruited by the Secret Service to become a temporary stand-in for the President of the United States.,1.0,"Dave (1993) | Genres: Comedy | Director: Ivan Reitman | Cast: Kevin Kline, Sigourney Weaver, Frank Langella"
Prince of the City (1981),32047.0,"['Drama', 'Thriller', 'Crime']",Sidney Lumet,"['Treat Williams', 'Jerry Orbach', 'Richard Foronjy']","New York City detective Daniel Ciello agrees to help the United States Department of Justice help eliminate corruption in the police department, as long as he will not have to turn in any close friends. In doing so, Ciello uncovers a conspiracy within the force to smuggle drugs to street informants.",1.0,"Prince of the City (1981) | Genres: Drama, Thriller, Crime | Director: Sidney Lumet | Cast: Treat Williams, Jerry Orbach, Richard Foronjy"
What Dreams May Come (1998),12159.0,"['Drama', 'Fantasy', 'Romance']",Vincent Ward,"['Robin Williams', 'Cuba Gooding Jr.', 'Annabella Sciorra']","Chris Nielsen dies to find himself in a heaven more amazing than he could have ever dreamed of. There is one thing missing: his wife. After he dies, his wife Annie killed herself and went to hell. Chris decides to risk eternity in Hades for the small chance that he will be able to bring her back to heaven.",1.0,"What Dreams May Come (1998) | Genres: Drama, Fantasy, Romance | Director: Vincent Ward | Cast: Robin Williams, Cuba Gooding Jr., Annabella Sciorra"
Kate & Leopold (2001),11232.0,"['Romance', 'Comedy', 'Fantasy']",James Mangold,"['Meg Ryan', 'Hugh Jackman', 'Liev Schreiber']","When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",1.0,"Kate & Leopold (2001) | Genres: Romance, Comedy, Fantasy | Director: James Mangold | Cast: Meg Ryan, Hugh Jackman, Liev Schreiber"
The Emerald Forest (1985),11532.0,"['Action', 'Adventure', 'Drama']",John Boorman,"['Powers Boothe', 'Charley Boorman', 'Meg Foster']","For ten years, engineer Bill Markham has searched tirelessly for his son Tommy who disappeared from the edge of the Brazilian rainforest. Miraculously, he finds the boy living among the reclusive Amazon tribe who adopted him. And that's when Bill's adventure truly begins. For his son is now a grown tribesman who moves skillfully through this beautiful-but-dangerous terrain, fearful only of those who would exploit it. And as Bill attempts to ""rescue"" him from the savagery of the untamed jungle, Tommy challenges Bill's idea of true civilization and his notions about who needs rescuing.",1.0,"The Emerald Forest (1985) | Genres: Action, Adventure, Drama | Director: John Boorman | Cast: Powers Boothe, Charley Boorman, Meg Foster"
The Good Son (1993),9272.0,"['Drama', 'Thriller', 'Horror']",Joseph Ruben,"['Macaulay Culkin', 'Elijah Wood', 'Wendy Crewson']","A young boy stays with his aunt and uncle, and befriends his cousin who's the same age. But his cousin begins showing increasing signs of psychotic behavior.",1.0,"The Good Son (1993) | Genres: Drama, Thriller, Horror | Director: Joseph Ruben | Cast: Macaulay Culkin, Elijah Wood, Wendy Crewson"
Real Steel (2011),39254.0,"['Action', 'Science Fiction', 'Drama']",Shawn Levy,"['Hugh Jackman', 'Dakota Goyo', 'Evangeline Lilly']","Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",1.0,"Real Steel (2011) | Genres: Action, Science Fiction, Drama | Director: Shawn Levy | Cast: Hugh Jackman, Dakota Goyo, Evangeline Lilly"
Psycho,539.0,"['Horror', 'Thriller', 'Mystery']",Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",1.0,"Psycho | Genres: Horror, Thriller, Mystery | Director: Alfred Hitchcock | Cast: Anthony Perkins, Janet Leigh, Vera Miles"
Blade II (2002),36586.0,"['Fantasy', 'Horror', 'Action', 'Thriller']",Guillermo del Toro,"['Wesley Snipes', 'Kris Kristofferson', 'Ron Perlman']","Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.",1.0,"Blade II (2002) | Genres: Fantasy, Horror, Action, Thriller | Director: Guillermo del Toro | Cast: Wesley Snipes, Kris Kristofferson, Ron Perlman"
Mr. Smith Goes to Washington (1939),3083.0,"['Comedy', 'Drama']",Frank Capra,"['James Stewart', 'Jean Arthur', 'Claude Rains']","After the death of a United States Senator, idealistic Jefferson Smith is appointed as his replacement in Washington. Soon, the naive and earnest new senator has to battle political corruption.",1.0,"Mr. Smith Goes to Washington (1939) | Genres: Comedy, Drama | Director: Frank Capra | Cast: James Stewart, Jean Arthur, Claude Rains"
What If... (2012),172499.0,"['Drama', 'Romance']",Christopher Papakaliatis,"['Christopher Papakaliatis', 'Marina Kalogirou', 'Maro Kodou']","Athens, the age of economic crisis. Demetris is a highly independent man who lives a normal life. A confirmed bachelor at the age of 33! When a moment arrives, his choice at that point in time will change everything. His roommate is a female German Shepherd called Lonesome. One night, after supper, Lonesome wants to be taken out. Demetris tries to change her mind, but Lonesome insists. It’s at this moment that he comes to a decision. This decision will change his entire life. If Demetris goes out, he will meet Christina, the love of his life. If he stays in, he will not meet her. Does true love exist? What is the impact of a severe economic crisis on people, and how can the crisis destroy a couple? One story shown from two different angles.",1.0,"What If... (2012) | Genres: Drama, Romance | Director: Christopher Papakaliatis | Cast: Christopher Papakaliatis, Marina Kalogirou, Maro Kodou"
Safe House (2012),59961.0,"['Action', 'Thriller']",Daniel Espinosa,"['Denzel Washington', 'Ryan Reynolds', 'Vera Farmiga']","A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.",1.0,"Safe House (2012) | Genres: Action, Thriller | Director: Daniel Espinosa | Cast: Denzel Washington, Ryan Reynolds, Vera Farmiga"
Break-Up (2014),,,,,,,Break-Up (2014)
8mm (1999),8224.0,"['Thriller', 'Crime', 'Mystery']",Joel Schumacher,"['Nicolas Cage', 'Joaquin Phoenix', 'James Gandolfini']","A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.",1.0,"8mm (1999) | Genres: Thriller, Crime, Mystery | Director: Joel Schumacher | Cast: Nicolas Cage, Joaquin Phoenix, James Gandolfini"
Sister Act 2: Back in the Habit (1993),6279.0,"['Music', 'Comedy']",Bill Duke,"['Whoopi Goldberg', 'Kathy Najimy', 'Lauryn Hill']","Deloris Van Cartier is again asked to don the nun's habit to help a run-down Catholic school, presided over by Mother Superior. And if trying to reach out to a class full of uninterested students wasn't bad enough, the sisters discover that the school is due to be closed by the unscrupulous chief of a local authority.",1.0,"Sister Act 2: Back in the Habit (1993) | Genres: Music, Comedy | Director: Bill Duke | Cast: Whoopi Goldberg, Kathy Najimy, Lauryn Hill"
Carrie (1952),43358.0,"['Drama', 'Romance']",William Wyler,"['Laurence Olivier', 'Jennifer Jones', 'Miriam Hopkins']","In the late 1890s, the ambitious, innocent Carrie arrives in Chicago’s South Side and stays with her nagging, dullish married sister. She then runs for help to traveling salesman Charles Drouet. She soon becomes his mistress, but falls in love with married restaurant manager George Hurstwood.",1.0,"Carrie (1952) | Genres: Drama, Romance | Director: William Wyler | Cast: Laurence Olivier, Jennifer Jones, Miriam Hopkins"
I Am Thor (2015),325758.0,"['Documentary', 'Music']",Ryan Wise,"['Jon Mikl Thor', 'Lou Ferrigno', 'John Holmstrom']","Jon Mikl Thor was a bodybuilding, steel bending, brick smashing rock star in the '70s & '80s whose band, Thor, never quite made it big. Years later he attempts a comeback that nearly kills him.",1.0,"I Am Thor (2015) | Genres: Documentary, Music | Director: Ryan Wise | Cast: Jon Mikl Thor, Lou Ferrigno, John Holmstrom"
Eternal Sunshine of the Spotless Mind (2004),38.0,"['Science Fiction', 'Drama', 'Romance']",Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst']","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",1.0,"Eternal Sunshine of the Spotless Mind (2004) | Genres: Science Fiction, Drama, Romance | Director: Michel Gondry | Cast: Jim Carrey, Kate Winslet, Kirsten Dunst"
Paris When It Sizzles (1964),22829.0,"['Romance', 'Comedy']",Richard Quine,"['William Holden', 'Audrey Hepburn', 'Grégoire Aslan']","Hollywood producer Alexander Meyerheimer has hired drunken writer Richard Benson to write his latest movie. Benson has been in Paris supposedly working on the script for months, but instead has spent the time living it up. Benson now has just two days to the deadline and thus hires a temporary secretary, Gabrielle Simpson, to help him finish on time.",1.0,"Paris When It Sizzles (1964) | Genres: Romance, Comedy | Director: Richard Quine | Cast: William Holden, Audrey Hepburn, Grégoire Aslan"
